name,display_name,lat,lon,height_m
Sgorr Dhearg (Beinn a' Bheithir),Sgorr Dhearg (Beinn a' Bheithir),56.65394,-5.17153,1024
Sgorr Dhonuill (Beinn a' Bheithir),Sgorr Dhonuill (Beinn a' Bheithir),56.65051,-5.19777,1001
Sgorr Ruadh,Sgorr Ruadh,57.49865,-5.40775,961
Sgorr nam Fiannaidh (Aonach Eagach),Sgorr nam Fiannaidh (Aonach Eagach),56.67938,-5.03714,968
Sgurr Alasdair,Sgurr Alasdair,57.20662,-6.22419,992
Sgurr Ban,Sgurr Ban,57.71856,-5.26591,989
Sgurr Breac,Sgurr Breac,57.69196,-5.09132,1000
Sgurr Choinnich,Sgurr Choinnich,57.45105,-5.20792,999
Sgurr Choinnich Mor,Sgurr Choinnich Mor,56.80044,-4.90397,1094
Sgurr Dearg - Inaccessible Pinnacle,Sgurr Dearg - Inaccessible Pinnacle,57.21328,-6.23483,986
Sgurr Dubh Mor,Sgurr Dubh Mor,57.20492,-6.21144,944
Sgurr Eilde Mor,Sgurr Eilde Mor,56.75003,-4.89544,1010
Sgurr Fhuar-thuill,Sgurr Fhuar-thuill,57.4497,-4.94179,1049
Sgurr Fhuaran,Sgurr Fhuaran,57.19617,-5.34765,1069
Sgurr Fiona (An Teallach),Sgurr Fiona (An Teallach),57.80074,-5.25945,1059
Sgurr Mhic Choinnich,Sgurr Mhic Choinnich,57.20896,-6.22413,948
Sgurr Mhor (Beinn Alligin),Sgurr Mhor (Beinn Alligin),57.59084,-5.57276,986
Sgurr Mor,"Sgurr Mor (Fannichs, 1109 m)",57.70015,-5.01676,1109
Sgurr Mor,"Sgurr Mor (Glen Kingie, 1003 m)",57.02846,-5.35421,1003
Sgurr Thuilm,Sgurr Thuilm,56.93707,-5.38922,963
Sgurr a' Bhealaich Dheirg,Sgurr a' Bhealaich Dheirg,57.17785,-5.25218,1036
Sgurr a' Chaorachain,Sgurr a' Chaorachain,57.45252,-5.18931,1053
Sgurr a' Choire Ghlais,Sgurr a' Choire Ghlais,57.44431,-4.90377,1083
Sgurr a' Ghreadaidh,Sgurr a' Ghreadaidh,57.22734,-6.23444,972
Sgurr a' Mhadaidh,Sgurr a' Mhadaidh,57.2309,-6.23195,918
Sgurr a' Mhaim,Sgurr a' Mhaim,56.75593,-5.00371,1099
Sgurr a' Mhaoraich,Sgurr a' Mhaoraich,57.10586,-5.33053,1027
Sgurr an Doire Leathain,Sgurr an Doire Leathain,57.1369,-5.28153,1010
Sgurr an Lochain,Sgurr an Lochain,57.14132,-5.29749,1004
